model,MAE,RMSE,R2
Extra Trees,0.16804654258802265,0.30685445820631546,0.3028045564698084
Gradient Boosting,0.16510342203495537,0.31235012307332666,0.27760783314442605
Random Forest,0.17156499872706157,0.31628121674732435,0.25931002428411465
