model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Extra Trees,0.17065133849459163,0.02991140478752697,0.2893904485488813,0.039673988367755944,0.4181915967445969,0.10187948195810864
Random Forest,0.1743656595606623,0.03178881729668492,0.2992899726729998,0.041361913619847646,0.37722606978121986,0.11336687135722123
Gradient Boosting,0.17384630181809896,0.03242318734067061,0.30436453824161724,0.04434143597815987,0.35618996598269953,0.12239855434966425
