,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction
NDVI,1.0,-0.6808507252088194,-0.774202497284883,-0.9697439115251438,-0.22837315556290588,0.629740214538048
NDBI,-0.6808507252088194,1.0,0.9627819733292177,0.6764369622722556,0.2279718876937124,-0.46294570040131916
BSI,-0.774202497284883,0.9627819733292177,1.0,0.728477601041902,0.23197337189781175,-0.4999564368450625
NDWI,-0.9697439115251438,0.6764369622722556,0.728477601041902,1.0,0.23275570909040463,-0.6222688532447682
LST,-0.22837315556290588,0.2279718876937124,0.23197337189781175,0.23275570909040463,1.0,-0.17144580959696887
vegetation_fraction,0.629740214538048,-0.46294570040131916,-0.4999564368450625,-0.6222688532447682,-0.17144580959696887,1.0
