sector_id,area_m2,LST,NDVI,vegetation_cover_pct,vulnerability_index,vulnerability_class,population_density_per_km2,population_density_class,dist_hospital_km,outdoor_exposure,HHSI_season_mean,HHSI_season_max,danger_days
SEC-F14,900.0,37.5,0.26,11.1,0.328,Low,1195.0,Low,1.33,High,35.23739726027397,46.86,1
SEC-F15,900.0,37.6,0.29,13.8,0.325,Low,742.3,Low,1.3,High,35.20835616438356,46.82,1
SEC-F16,900.0,37.7,0.33,17.9,0.329,Low,742.3,Low,1.27,High,35.246849315068495,46.87,1
SEC-F17,900.0,37.8,0.39,25.0,0.331,Moderate,742.3,Low,1.24,High,35.266164383561645,46.9,1
SEC-F18,900.0,38.0,0.36,21.3,0.331,Moderate,742.3,Low,1.21,High,35.266164383561645,46.9,1
SEC-F19,900.0,38.1,0.34,19.0,0.33,Moderate,746.8,Low,1.18,High,35.25671232876713,46.88,1
SEC-F20,900.0,38.1,0.33,17.9,0.326,Low,746.8,Low,1.15,High,35.21808219178082,46.83,1
SEC-F21,900.0,38.1,0.28,12.9,0.322,Low,746.8,Low,1.12,High,35.17917808219178,46.78,1
SEC-F22,900.0,38.0,0.31,15.8,0.315,Low,746.8,Low,1.09,High,35.112054794520546,46.69,1
SEC-F23,900.0,37.9,0.42,29.0,0.522,Moderate,14909.9,High,1.06,Medium,37.10397260273973,49.34,18
SEC-F24,900.0,38.0,0.38,23.7,0.513,Moderate,14909.9,High,1.03,High,37.017534246575345,49.23,18
SEC-F25,900.0,37.9,0.34,19.0,0.504,Moderate,14909.9,High,1.0,High,36.93041095890411,49.11,17
SEC-F26,900.0,37.8,0.36,21.3,0.295,Low,1665.8,Low,0.97,High,34.91986301369863,46.44,1
SEC-F27,900.0,37.5,0.35,20.1,0.286,Low,1665.8,Low,0.94,High,34.83246575342466,46.32,1
SEC-F28,900.0,37.3,0.42,29.0,0.276,Low,1665.8,Low,0.91,Medium,34.736712328767126,46.19,1
SEC-F29,900.0,37.0,0.59,57.2,0.266,Low,1665.8,Low,0.88,Low,34.64013698630137,46.06,1
SEC-F30,900.0,36.8,0.6,59.2,0.254,Low,1530.9,Low,0.85,Low,34.52479452054794,45.91,0
SEC-F31,900.0,36.9,0.54,47.9,0.245,Low,1530.9,Low,0.82,Low,34.43808219178082,45.8,0
SEC-F32,900.0,37.1,0.47,36.3,0.243,Low,1530.9,Low,0.79,Low,34.41835616438356,45.77,0
SEC-F33,900.0,37.1,0.33,17.9,0.249,Low,1530.9,Low,0.76,Medium,34.47657534246575,45.85,0
SEC-F34,900.0,37.0,0.33,17.9,0.239,Low,499.7,Low,0.73,Medium,34.38041095890411,45.72,0
SEC-F35,900.0,36.9,0.39,25.0,0.246,Low,499.7,Low,0.71,Medium,34.44794520547945,45.81,0
SEC-F36,900.0,36.8,0.4,26.3,0.255,Low,499.7,Low,0.68,Low,34.53383561643835,45.92,0
SEC-F37,900.0,36.5,0.39,25.0,0.26,Low,254.8,Low,0.65,Low,34.5827397260274,45.99,0
SEC-F38,900.0,36.1,0.45,33.3,0.271,Low,254.8,Low,0.62,Low,34.6886301369863,46.13,1
SEC-F39,900.0,35.4,0.63,65.2,0.284,Low,254.8,Low,0.59,Low,34.81315068493151,46.29,1
SEC-F40,900.0,35.2,0.71,82.9,0.299,Low,254.8,Low,0.56,Low,34.95739726027397,46.49,1
SEC-F41,900.0,35.2,0.73,87.6,0.409,Moderate,6461.7,Medium,0.53,Low,36.01657534246576,47.89,10
SEC-F42,900.0,35.4,0.73,87.6,0.426,Moderate,6461.7,Medium,0.5,Low,36.18027397260274,48.11,12
SEC-F43,900.0,35.6,0.69,78.3,0.445,Moderate,6461.7,Medium,0.47,Low,36.36315068493151,48.36,15
SEC-F44,900.0,35.9,0.51,42.8,0.503,Moderate,8886.6,Medium,0.44,Low,36.92095890410959,49.1,17
SEC-F45,900.0,36.3,0.45,33.3,0.528,Moderate,8886.6,Medium,0.41,Low,37.16219178082192,49.42,18
SEC-F46,900.0,36.7,0.36,21.3,0.554,Moderate,8886.6,Medium,0.38,Low,37.412328767123284,49.75,20
