longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction
85.79993433258795,20.25067653414217,0.19687878,-0.05409691,0.043720096,-0.25094104,37.42322342000003,0.0
85.80002416411637,20.25067653414217,0.1873932,-0.05126911,0.04463158,-0.23915197,37.42322342000003,0.0
85.80011399564478,20.25067653414217,0.1611934,0.021168815,0.08805103,-0.2552204,37.65564878000001,0.0
85.80020382717318,20.25067653414217,0.11860462,0.093521796,0.12886144,-0.21311475,37.65564878000001,0.0
85.79993433258795,20.250586702613756,0.13027672,-0.0207953,0.075605966,-0.2231694,37.43347748000002,0.0
85.80002416411637,20.250586702613756,0.1315645,-0.045654345,0.03993596,-0.2101761,37.43347748000002,0.0
85.80011399564478,20.250586702613756,0.13310285,0.036737714,0.09070372,-0.21220529,37.577034320000024,0.0
85.80020382717318,20.250586702613756,0.09206753,0.1504337,0.1635347,-0.16558993,37.577034320000024,0.0
85.80029365870159,20.250586702613756,0.097553015,0.15963027,0.13358836,-0.11243384,37.577034320000024,0.0
85.80038349023,20.250586702613756,0.04938774,-0.01320193,0.07031339,-0.11540129,37.65735779000002,0.0
85.80047332175842,20.250586702613756,0.025460936,0.034710746,0.09111907,-0.09774437,37.65735779000002,0.0
85.80056315328683,20.250586702613756,0.10694925,0.06455644,0.09391435,-0.17345874,37.65735779000002,0.0
85.80065298481524,20.250586702613756,0.33700138,0.025270768,0.026333751,-0.322449,37.65735779000002,0.0
85.79993433258795,20.250496871085343,0.2480602,-0.03128034,0.05396009,-0.31516352,37.43347748000002,0.0
85.80002416411637,20.250496871085343,0.14805552,0.0074714413,0.07973217,-0.23755826,37.43347748000002,0.0
85.80011399564478,20.250496871085343,0.09188927,0.06972857,0.119705774,-0.1689402,37.577034320000024,0.0
85.80020382717318,20.250496871085343,0.08883082,0.1798278,0.16779557,-0.14099936,37.577034320000024,0.0
85.80029365870159,20.250496871085343,0.059710473,0.15427199,0.13739583,-0.09846827,37.577034320000024,0.0
85.80038349023,20.250496871085343,0.020164523,-0.0116781145,0.06966999,-0.1046288,37.65735779000002,0.0
85.80047332175842,20.250496871085343,0.05932356,0.0161184,0.07968426,-0.112102635,37.65735779000002,0.0
85.80056315328683,20.250496871085343,0.124539405,0.10446008,0.12784716,-0.18111454,37.65735779000002,0.0
85.80065298481524,20.250496871085343,0.28964916,0.118684374,0.102096386,-0.31132072,37.65735779000002,0.980392156862745
85.79993433258795,20.250407039556933,0.36306068,-0.017730502,0.049496517,-0.40686274,37.43347748000002,0.8235294117647058
85.80002416411637,20.250407039556933,0.17735302,0.025825785,0.09450434,-0.26225683,37.43347748000002,0.0
85.80011399564478,20.250407039556933,0.06884906,0.10933101,0.15322472,-0.15626758,37.577034320000024,0.0
