longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction,heat_stress,vegetation_deficit,bare_soil_score,built_up_score,low_moisture_score,priority_score,priority_class,intervention_type,recommendation,sprayer_rank
85.80119197398571,20.24887990357393,0.1450285,0.21340002,0.1780276,-0.19261216,37.86072998000003,0.0,0.7809215844785746,1.0,0.6843399587180091,0.6951349447192582,0.2564297605724557,78.2083939680445,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,1
85.80137163704254,20.24852057746028,0.33706868,0.20035274,0.14956832,-0.3510131,37.58728838000002,0.0,0.6515763945028201,1.0,0.6321287890976798,0.6752450488683048,0.49772994466710374,75.75897360690388,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,2
85.80173096315619,20.248610408988693,0.015289068,0.23780484,0.23035713,-0.15866958,37.45398560000001,0.0,0.5885206143896388,1.0,0.7803432998771007,0.7323388161822194,0.20472330729858412,73.7313891646537,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,3
85.80119197398571,20.24896973510234,0.12449045,0.08822783,0.097114496,-0.14972748,37.86072998000003,0.0,0.7809215844785746,1.0,0.5358974191509032,0.5043164888774467,0.19110135293270258,73.42028723972226,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,4
85.80164113162778,20.24852057746028,0.06287425,0.20935412,0.19419643,-0.16699539,37.51892798000006,0.0,0.6192400970089017,1.0,0.7140031661390074,0.6889671818120952,0.2174064358566411,73.35098657903953,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,5
85.80128180551412,20.24852057746028,0.26171294,0.15760109,0.10379745,-0.28823888,37.58728838000002,0.0,0.6515763945028201,1.0,0.548157913613829,0.6100723948012187,0.40210279218683465,72.89141240917257,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,6
85.80119197398571,20.248251082875043,0.19988985,0.22455518,0.19936283,-0.24336663,37.20447014000001,0.0,0.47049312853676917,1.0,0.7234814026483805,0.7121404026078544,0.33374661838041,70.42588510571144,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,7
85.8010123109289,20.24852057746028,0.27744028,0.18899459,0.14001065,-0.21870172,37.35828104000001,0.0,0.543249797898126,1.0,0.6145943634359929,0.6579301433432064,0.2961733102694989,70.05744392461072,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,8
85.8010123109289,20.248610408988693,0.33244506,0.07106362,0.06985769,-0.31406045,37.35828104000001,0.0,0.543249797898126,1.0,0.48589229880441465,0.4781505485999411,0.44143809912764476,67.78176489628586,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,9
85.80191062621302,20.248610408988693,0.05934982,0.055067856,0.09429034,-0.08424906,37.45398560000001,0.0,0.5885206143896388,1.0,0.5307162449275823,0.45376584312750323,0.09135475546789784,66.0675680915569,High,Mist Sprayer,High heat exposure walking path: Install mist sprayers for pedestrian cooling.,10
