longitude,latitude,NDVI,NDBI,BSI,NDWI,LST,vegetation_fraction,heat_stress,vegetation_deficit,bare_soil_score,built_up_score,low_moisture_score,priority_score,priority_class,intervention_type,recommendation,planting_rank
85.8010123109289,20.24968838732964,0.34365535,0.18464051,0.16471295,-0.3504736,38.19227792000001,0.0,0.9377526273241599,1.0,0.6599130073128675,0.6512925761470767,0.49690809696014526,84.51328066049003,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,1
85.80137163704254,20.249598555801224,0.2760807,0.10182559,0.12760824,-0.33655298,38.28285545000003,0.0,0.9805982215036355,1.0,0.5918410003076612,0.5250455626925453,0.4757021106275412,83.30303838292485,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,2
85.80155130009936,20.24950872427281,0.10536277,0.2604474,0.2538078,-0.23163444,37.96839761000001,0.0,0.8318512530315164,1.0,0.8233657132719712,0.7668562144597887,0.3158743784376836,83.13332921899979,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,3
85.80092247940048,20.24968838732964,0.1164006,0.20257099,0.19529663,-0.18593897,38.19227792000001,0.0,0.9377526273241599,1.0,0.7160215843427106,0.6786266549556562,0.24626415186143058,83.12181065303632,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,4
85.80155130009936,20.249329061215988,0.114587724,0.33079466,0.25038353,-0.12505335,37.96839761000001,0.0,0.8318512530315164,1.0,0.817083574658633,0.8740969324331856,0.15351399952826406,82.48790053043949,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,5
85.80119197398571,20.24950872427281,0.14581674,0.11598361,0.131548,-0.21452701,38.32387169000003,0.0,1.0,1.0,0.5990688527910475,0.5466287235701931,0.28981376283536264,82.35045765592126,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,6
85.80155130009936,20.2494188927444,0.1541298,0.2522695,0.21725087,-0.2445328,37.96839761000001,0.0,0.8318512530315164,1.0,0.7562986591149965,0.7543894336993917,0.3355231042755419,82.19914285741979,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,7
85.80128180551412,20.249329061215988,0.073403254,0.16157855,0.14691226,-0.10140204,38.32387169000003,0.0,1.0,1.0,0.6272560024642242,0.6161358245085089,0.11748475969496752,81.74504587899813,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,8
85.80119197398571,20.249329061215988,0.073403254,0.16157855,0.14691226,-0.10140204,38.32387169000003,0.0,1.0,1.0,0.6272560024642242,0.6161358245085089,0.11748475969496752,81.74504587899813,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,9
85.8010123109289,20.249598555801224,0.21396054,0.13904434,0.13019788,-0.2642225,38.19227792000001,0.0,0.9377526273241599,1.0,0.5965919333353269,0.5817836001381027,0.36551742271057397,81.55446804824147,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,10
85.80092247940048,20.249778218858047,0.14508928,0.17124392,0.15072049,-0.18853171,38.19227792000001,0.0,0.9377526273241599,1.0,0.6342425510516524,0.6308701754736855,0.2502138041760542,81.45705688199698,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,11
85.80137163704254,20.249329061215988,0.09149942,0.12803583,0.12749174,-0.14489165,38.32387169000003,0.0,1.0,1.0,0.5916272703306283,0.5650017025031797,0.18373468787850267,81.36177295877623,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,12
85.80137163704254,20.249059566630752,0.041036703,0.21727835,0.16996667,-0.07685434,38.20595000000003,0.0,0.944219886822957,1.0,0.6695514404024508,0.7010472559270831,0.08009000352053963,81.18124080520171,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,13
85.8010123109289,20.249778218858047,0.34963462,0.094133176,0.08417957,-0.35153392,38.19227792000001,0.0,0.9377526273241599,1.0,0.5121671063878112,0.5133188799431587,0.49852333618283695,80.93350757680192,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,14
85.80092247940048,20.249598555801224,0.17049646,0.123805486,0.13480663,-0.20926143,38.19227792000001,0.0,0.9377526273241599,1.0,0.605047109572663,0.5585527643663645,0.28179243781440566,80.61173748512243,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,15
85.80137163704254,20.249149398159165,0.13151601,0.1776156,0.15209211,-0.10354476,38.20595000000003,0.0,0.944219886822957,1.0,0.63675891423704,0.6405834683282577,0.12074887372398335,80.49130373876672,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,16
85.80110214245731,20.249329061215988,0.109699,0.17029254,0.15006264,-0.13203683,38.16664277000004,0.0,0.9256265157639472,1.0,0.6330356646534465,0.6294198464307984,0.16415228873047005,80.2000517943328,Very High,Tree Planting,Very high priority for tree planting or vegetation canopy implementation.,17
85.80119197398571,20.2494188927444,0.08151897,0.045576416,0.10214912,-0.16118509,38.32387169000003,0.0,1.0,1.0,0.5451339004546669,0.43929663934897056,0.20855531123803006,79.65552801269,High,Tree Planting,High priority for tree planting or additional vegetation.,18
85.80092247940048,20.249329061215988,0.09170581,0.13599208,0.14547957,-0.13430893,38.16664277000004,0.0,0.9256265157639472,1.0,0.6246276007406616,0.5771305894331872,0.16761349387408497,79.58565031710104,High,Tree Planting,High priority for tree planting or additional vegetation.,19
85.80110214245731,20.24968838732964,0.5253968,-0.035932466,0.019072002,-0.5035202,38.19227792000001,0.0,0.9377526273241599,1.0,0.3927212779474878,0.31504061250600784,0.7300517434249955,79.47432154824713,High,Tree Planting,High priority for tree planting or additional vegetation.,20
85.80110214245731,20.250047713443283,0.13819692,0.15962341,0.17339057,-0.22658996,37.97523365000001,0.0,0.8350848827809083,1.0,0.6758329002167205,0.6131553158527558,0.3081898662582624,79.40349180778823,High,Tree Planting,High priority for tree planting or additional vegetation.,21
85.80128180551412,20.24887990357393,0.1353856,0.23845471,0.19492269,-0.20477694,37.86072998000003,0.0,0.7809215844785746,1.0,0.7153355569812375,0.7333295090022295,0.27496098679794967,79.24058584707758,High,Tree Planting,High priority for tree planting or additional vegetation.,22
85.80092247940048,20.24950872427281,0.19254343,0.06243727,0.10379945,-0.25808188,38.16664277000004,0.0,0.9256265157639472,1.0,0.5481615827979841,0.46500012927316403,0.3561631048861009,79.20285155648082,High,Tree Planting,High priority for tree planting or additional vegetation.,23
85.80155130009936,20.24923922968757,0.10034603,0.3252501,0.21578638,-0.064562395,37.86072998000003,0.0,0.7809215844785746,1.0,0.7536119173633683,0.8656445407515965,0.061365060402264526,79.00192230634636,High,Tree Planting,High priority for tree planting or additional vegetation.,24
85.80110214245731,20.250407039556933,0.074405655,0.25513697,0.24992947,-0.20124266,37.67615690000002,0.0,0.6936135812449377,1.0,0.8162505597799077,0.7587607417157549,0.2695770388577289,78.33554363978158,High,Tree Planting,High priority for tree planting or additional vegetation.,25
85.80074281634366,20.24968838732964,0.121030554,0.20433767,0.17282772,-0.16391914,37.918836320000025,0.0,0.8084074373484188,1.0,0.6748003000658803,0.681319866199836,0.21272022824119918,78.31462856585112,High,Tree Planting,High priority for tree planting or additional vegetation.,26
85.80137163704254,20.24923922968757,0.12009608,0.09537668,0.10701547,-0.11875248,38.20595000000003,0.0,0.944219886822957,1.0,0.5540616676111758,0.515214536742909,0.1439155647528363,78.2288226338138,High,Tree Planting,High priority for tree planting or additional vegetation.,27
85.80065298481524,20.249778218858047,0.16157208,0.18481848,0.16151945,-0.19778319,37.918836320000025,0.0,0.8084074373484188,1.0,0.6540542375132619,0.6515638821023865,0.2643070527839725,78.22174603201508,High,Tree Planting,High priority for tree planting or additional vegetation.,28
85.80137163704254,20.24887990357393,0.16864605,0.22151902,0.17381561,-0.19293384,37.86072998000003,0.0,0.7809215844785746,1.0,0.6766126752333556,0.7075119355107405,0.2569197920282007,78.22115493824697,High,Tree Planting,High priority for tree planting or additional vegetation.,29
85.80074281634366,20.249778218858047,0.12686354,0.17145813,0.16286473,-0.18978317,37.918836320000025,0.0,0.8084074373484188,1.0,0.6565222775433271,0.6311967274132646,0.2521202166530704,77.93322672426581,High,Tree Planting,High priority for tree planting or additional vegetation.,30
85.80146146857095,20.249059566630752,0.079601966,0.26664415,0.1943674,-0.08391605,37.86072998000003,0.0,0.7809215844785746,1.0,0.7143168263465034,0.7763028356800274,0.09084746444863145,77.81390293084137,High,Tree Planting,High priority for tree planting or additional vegetation.,31
85.80110214245731,20.250137544971697,0.1029149,0.17636609,0.18861721,-0.17564997,37.86756602,0.0,0.7841552142279531,1.0,0.7037675733281867,0.638678655695684,0.23059039642696255,77.77386054798787,High,Tree Planting,High priority for tree planting or additional vegetation.,32
85.80110214245731,20.25031720802852,0.120460056,0.16527618,0.16743782,-0.2201714,37.86756602,0.0,0.7841552142279531,1.0,0.6649120322271782,0.6217726680188314,0.2984121483380118,77.70018507381471,High,Tree Planting,High priority for tree planting or additional vegetation.,33
85.8010123109289,20.249059566630752,0.07375453,0.15745793,0.15347591,-0.111815564,38.01624989000001,0.0,0.8544866612772728,1.0,0.6392976227539319,0.6098541548699823,0.1333482088529968,77.65608781685694,High,Tree Planting,High priority for tree planting or additional vegetation.,34
85.80110214245731,20.250227376500103,0.13923307,0.14462899,0.17103547,-0.22954474,37.86756602,0.0,0.7841552142279531,1.0,0.6715122524149194,0.5902971069275659,0.3126910324632053,77.6272216069701,High,Tree Planting,High priority for tree planting or additional vegetation.,35
85.80110214245731,20.24995788191487,0.30886534,0.043264717,0.07856298,-0.36569577,37.97523365000001,0.0,0.8350848827809083,1.0,0.501862954871053,0.43577257514947815,0.5200968004067285,77.13918456205509,High,Tree Planting,High priority for tree planting or additional vegetation.,36
85.8010123109289,20.250137544971697,0.09985528,0.15131213,0.17261764,-0.18349339,37.86756602,0.0,0.7841552142279531,1.0,0.6744148889622319,0.6004852042595263,0.24253867583699418,77.07111856223729,High,Tree Planting,High priority for tree planting or additional vegetation.,37
85.80164113162778,20.24950872427281,0.09144981,0.15111794,0.14765418,-0.123182856,37.96839761000001,0.0,0.8318512530315164,1.0,0.6286171230183882,0.600189171762692,0.15066458116908044,76.89333196553905,High,Tree Planting,High priority for tree planting or additional vegetation.,38
85.80056315328683,20.249778218858047,0.10546087,0.13556258,0.15516996,-0.1703885,37.918836320000025,0.0,0.8084074373484188,1.0,0.6424055134628788,0.576475839150524,0.22257533237741545,76.87881753767513,High,Tree Planting,High priority for tree planting or additional vegetation.,39
85.80047332175842,20.24968838732964,0.20229372,0.12273361,0.113912515,-0.25548902,37.918836320000025,0.0,0.8084074373484188,1.0,0.5667149317265732,0.556918745474677,0.3522132697693924,76.84426724879185,High,Tree Planting,High priority for tree planting or additional vegetation.,40
85.8010123109289,20.2494188927444,0.061570045,0.051352605,0.097005986,-0.119588755,38.16664277000004,0.0,0.9256265157639472,1.0,0.5356983475645699,0.44810213732444304,0.14518950486615723,76.73718710829296,High,Tree Planting,High priority for tree planting or additional vegetation.,41
85.80083264787207,20.24968838732964,0.071446456,0.13986717,0.15426318,-0.15109076,37.918836320000025,0.0,0.8084074373484188,1.0,0.6407419420588123,0.5830379614304977,0.19317810648588574,76.6255129304986,High,Tree Planting,High priority for tree planting or additional vegetation.,42
